route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed
861,3528A4969,160305A3528B4969,,Journal Square,0,,6,0
4768,3893A5283,572796A3893B5283,,Hoboken,1,,12,0
860,3528A4969,158586A3528B4969,,World Trade Center,1,,10,0
1024,3907A5310,159414A3907B5310,,33rd via Hoboken,1,,2,0
1024,3906A5310,159689A3906B5310,,Journal Square via Hoboken,0,,4,0
4768,3894A5283,573095A3894B5283,,Journal Square,0,,1,0
1024,3906A5292,159707A3906B5292,,Journal Square via Hoboken,0,,4,0
1024,3907A5293,159524A3907B5293,,Journal Square via Hoboken,0,,4,0
1024,3906A5310,159753A3906B5310,,Journal Square via Hoboken,0,,4,0
860,3528A4969,158606A3528B4969,,World Trade Center,1,,10,0
4768,3893A5283,572983A3893B5283,,Journal Square,0,,1,0
860,3894A5283,572571A3894B5283,,World Trade Center,1,,10,0
1024,3906A5292,159673A3906B5292,,33rd via Hoboken,1,,2,0
4768,3893A5283,573018A3893B5283,,Journal Square,0,,1,0
862,3529A4969,602384A3529B4969,,Newark,0,,9,0
1024,3906A5292,159719A3906B5292,,Journal Square via Hoboken,0,,4,0
1024,3906A5310,159605A3906B5310,,33rd via Hoboken,1,,2,0
862,3530A4969,602505A3530B4969,,Newark,0,,9,0
860,3893A5283,572458A3893B5283,,World Trade Center,1,,10,0
1024,3907A5292,159430A3907B5292,,33rd via Hoboken,1,,2,0
1024,3906A5293,159760A3906B5293,,Journal Square via Hoboken,0,,4,0
4768,3894A5283,572963A3894B5283,,Hoboken,1,,12,0
1024,3943A5292,160036A3943B5292,,33rd via Hoboken,1,,2,0
861,3528A4969,160298A3528B4969,,Journal Square,0,,6,0
861,3528A4969,160138A3528B4969,,33rd Street,1,,5,0
862,3529A4969,602423A3529B4969,,Newark,0,,9,0
1024,3906A5310,159680A3906B5310,,Journal Square via Hoboken,0,,4,0
862,3528A4969,159251A3528B4969,,World Trade Center,1,,8,0
1024,3907A5292,159494A3907B5292,,Journal Square via Hoboken,0,,4,0
859,3528A4969,158356A3528B4969,,33rd Street,1,,11,0
1024,3943A5310,160033A3943B5310,,33rd via Hoboken,1,,2,0
862,3528A4969,159007A3528B4969,,Newark,0,,9,0
1024,3907A5292,159533A3907B5292,,Journal Square via Hoboken,0,,4,0
862,3528A4969,159090A3528B4969,,Newark,0,,9,0
860,3528A4969,158675A3528B4969,,Hoboken,0,,3,0
1024,3907A5293,159392A3907B5293,,33rd via Hoboken,1,,2,0
859,3528A4969,158280A3528B4969,,33rd Street,1,,11,0
862,3529A4969,602436A3529B4969,,World Trade Center,1,,8,0
861,3528A4969,160245A3528B4969,,Journal Square,0,,6,0
860,3893A5283,572670A3893B5283,,Hoboken,0,,3,0
4768,3894A5283,572964A3894B5283,,Hoboken,1,,12,0
4768,3894A5283,573078A3894B5283,,Journal Square,0,,1,0
859,3528A4969,158442A3528B4969,,Hoboken,0,,7,0
1024,3906A5292,159739A3906B5292,,Journal Square via Hoboken,0,,4,0
862,3528A4969,159072A3528B4969,,Newark,0,,9,0
1024,3907A5293,159458A3907B5293,,Journal Square via Hoboken,0,,4,0
861,3528A4969,160099A3528B4969,,33rd Street,1,,5,0
860,3908A5283,572608A3908B5283,,World Trade Center,1,,10,0
859,3528A4969,158369A3528B4969,,Hoboken,0,,7,0
859,3528A4969,158333A3528B4969,,33rd Street,1,,11,0
4768,3894A5283,572888A3894B5283,,Hoboken,1,,12,0
1024,3943A5292,160048A3943B5292,,Journal Square via Hoboken,0,,4,0
859,3528A4969,158347A3528B4969,,33rd Street,1,,11,0
1024,3906A5293,159630A3906B5293,,33rd via Hoboken,1,,2,0
860,3528A4969,158554A3528B4969,,World Trade Center,1,,10,0
1024,3907A5292,159378A3907B5292,,33rd via Hoboken,1,,2,0
861,3528A4969,160064A3528B4969,,33rd Street,1,,5,0
4768,3893A5283,573022A3893B5283,,Journal Square,0,,1,0
4768,3893A5283,573012A3893B5283,,Journal Square,0,,1,0
